epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.596,3.35982,5.46313,1.38715,0,0,0,0,0,1.37622,0,5.17547e-05,5.17547e-05,5.17547e-05
2,460.981,3.35576,4.71266,1.17465,0,0,0,0,0,26.6808,0,0.000102728,0.000102728,0.000102728
3,688.98,3.27329,4.05269,1.14212,0,0,0,0,0,75.7364,0,0.000152671,0.000152671,0.000152671
4,914.317,3.25492,3.56646,1.1272,0,0,0,0,0,218.77,0,0.000151367,0.000151367,0.000151367
5,1137.08,3.26264,3.19758,1.11078,0,0,0,0,0,218.936,0,0.000149822,0.000149822,0.000149822
6,1360.58,3.19944,2.99763,1.10804,0,0,0,0,0,258.32,0,0.000148278,0.000148278,0.000148278
7,1582.11,3.21033,2.76368,1.10351,0,0,0,0,0,214.977,0,0.000146734,0.000146734,0.000146734
8,1800.23,3.21994,2.71188,1.09644,0,0,0,0,0,309.323,0,0.000145189,0.000145189,0.000145189
9,2015.87,3.1497,2.54278,1.08237,0,0,0,0,0,258.509,0,0.000143645,0.000143645,0.000143645
10,2231.29,3.13173,2.53937,1.10253,0,0,0,0,0,319.104,0,0.0001421,0.0001421,0.0001421
11,2447.16,3.12737,2.4304,1.08399,0,0,0,0,0,255.425,0,0.000140556,0.000140556,0.000140556
12,2657.78,3.05668,2.36263,1.08685,0,0,0,0,0,326.311,0,0.000139012,0.000139012,0.000139012
13,2867.9,3.07901,2.29625,1.07933,0,0,0,0,0,365.1,0,0.000137467,0.000137467,0.000137467
14,3076.15,3.11647,2.26705,1.08066,0,0,0,0,0,390.936,0,0.000135923,0.000135923,0.000135923
15,3283.5,3.05086,2.26167,1.07372,0,0,0,0,0,348.172,0,0.000134378,0.000134378,0.000134378
16,3490.11,3.00884,2.26118,1.08391,0,0,0,0,0,418.926,0,0.000132834,0.000132834,0.000132834
17,3694.18,3.04725,2.20083,1.07351,0,0,0,0,0,543.299,0,0.00013129,0.00013129,0.00013129
18,3899.54,3.03762,2.13993,1.07366,0,0,0,0,0,478.901,0,0.000129745,0.000129745,0.000129745
19,4102.56,3.02877,2.13989,1.081,0,0,0,0,0,523.139,0,0.000128201,0.000128201,0.000128201
20,4303.25,2.99407,2.12481,1.08228,0,0,0,0,0,484.971,0,0.000126656,0.000126656,0.000126656
21,4504.96,2.97204,2.13041,1.0794,0,0,0,0,0,487.87,0,0.000125112,0.000125112,0.000125112
22,4704.11,2.99252,2.09239,1.06931,0,0,0,0,0,574.516,0,0.000123568,0.000123568,0.000123568
23,4902.54,2.94202,2.07071,1.07417,0,0,0,0,0,546.493,0,0.000122023,0.000122023,0.000122023
24,5101.82,2.98065,2.02424,1.06718,0,0,0,0,0,429.516,0,0.000120479,0.000120479,0.000120479
